Country,renewable_energy_percentage,Alternative and nuclear energy (% of total energy use),fossil_fuel_energy_percentage,Energy use (kg of oil equivalent per capita),CO2 emissions (kt),CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),GDP (current US$),"School enrollment, primary (% gross)",Employment in industry (% of total employment) (modeled ILO estimate),Population growth (annual %),Population
United States,10.9,11.8743317712829,82.4278282452692,6803.99660728499,4320532.5,3.5,27360935000000.0,96.9717330932617,19.2767797091913,0.491924871690548,334914895.0
Uruguay,57.8,14.7506892110662,46.2703078884888,1389.60486038998,6514.3,4.0,77240831587.167,105.501998901367,18.0559034554937,0.0091733711706744,3423108.0
Uzbekistan,1.0,1.91706736502013,97.738499471809,1419.47776690297,115577.8,3.5,90889149306.7313,94.3349990844727,24.1797430038117,2.12121533052509,36412350.0
"Venezuela, RB",33.7,8.24705905142355,88.3779732161285,2304.52870852259,72509.0,3.5,482359318767.703,100.678001403809,17.8638251052569,1.87895331104326,28838499.0
Viet Nam,24.2,6.93720399976552,69.8218365547114,663.887382844496,355323.1,4.0,429716969049.593,123.134002685547,30.6119636643377,0.682172962745761,98858950.0
"Yemen, Rep.",3.7,0.0,98.4885027413083,306.314052304028,9960.1,2.5,21606160663.0318,83.8951034545898,11.7119508241247,2.21065600879913,34449825.0
Zambia,83.0,9.67483336418316,10.5633241033139,631.919735219799,7607.1,3.5,28162630953.9285,94.7779998779297,10.3460794360527,2.72052846961362,20569737.0
Zimbabwe,82.4,3.2958428009259,29.0957594045934,832.572235670715,8312.5,4.0,26538273498.8461,95.7900009155273,13.7508069610728,2.09110005063999,16665409.0
Pacific island small states,29.6534541062802,1.2894730277081767,0.0,937.0000922979104,90688.75,2.875,162311224385.05884,98.66831970214861,18.262482909771794,2.29250781709154,41145341.0
Afghanistan,20.0,3.166980106601855,42.2711801517022,3257.257238055446,8709.47,2.0,14502158192.0904,110.007507324219,18.3400733643662,2.66562820222961,42239854.0
American Samoa,0.4,0.0105605827476917,0.0,3257.257238055446,26321.85,3.5,871000000.0,84.5378494262695,14.62546008327065,-0.814183458237158,43914.0
Andorra,18.7,7.59381236324645,38.1267479097535,3257.257238055446,448.884399,3.0,3727673593.01922,90.147346496582,19.715057652443495,0.330181899850107,80088.0
Antigua and Barbuda,0.9,0.0105605827476917,0.0,1780.14046039797,474.6,2.75,2033085185.18518,112.122001647949,24.014107283414248,0.568965860290507,94298.0
Aruba,8.8,7.59381236324645,38.1267479097535,3257.257238055446,26443.0421995,3.0,3544707788.05664,115.184997558594,19.715057652443495,-0.157952665853709,106277.0
"Bahamas, The",1.1,11.758580766773884,0.0,1982.2963323324,2456.0,3.25,14338500000.0,93.8210525512695,11.785447761194,0.641620859891635,412623.0
Barbados,5.5,7.154062370149745,0.0,1477.28444909447,1096.07,3.75,6393564189.61345,95.5793075561523,16.5101044667233,0.127743395119193,281995.0
Belize,30.8,7.59381236324645,0.0,598.977699858332,687.6,3.75,3281500000.0,99.9364624023438,19.5734232635191,1.36088864482137,410825.0
Bermuda,0.9,7.154062370149745,32.33234850100575,3257.257238055446,27482.2,4.0,7827980000.0,85.4250030517578,15.73692593491845,-0.166818835702156,63489.0
Bhutan,82.5,0.0105605827476917,0.0,357.973867907643,1035.2,4.0,2898227713.22315,103.800003051758,15.2397358598909,0.63304453326495,787424.0
British Virgin Islands,1.3,0.0105605827476917,49.7564086213493,3316.317816091246,125.9980465,3.0,1252294547.9820094,101.18147277832,17.5566108332429,0.741533878612142,31538.0
Burkina Faso,71.4,5.19114780478827,11.3932581568791,3257.257238055446,5456.7,4.0,20324617838.9676,82.3567962646484,7.00875697767902,2.51606040251666,23251485.0
Burundi,83.0,0.0105605827476917,0.0,3257.257238055446,713.466,4.0,2642161668.92754,103.901000976562,3.11915682270691,2.67147850336685,13238559.0
Cabo Verde,21.8,0.0105605827476917,0.0,204.068289570922,620.6,4.0,2587252076.3056,96.402099609375,21.9691266767643,0.928494014669758,598682.0
Cayman Islands,0.0,7.154062370149745,0.0,3480.0516086257417,26945.6,3.75,6600844001.53721,87.6824264526367,19.0898743657568,0.875266427063587,69310.0
Central African Republic,90.9,0.0105605827476917,0.0,3257.257238055446,236.6,2.0,2555492085.24831,110.710998535156,6.26769868748864,2.88270795208001,5742315.0
Chad,70.0,20.24895767901195,33.3595454160328,3257.257238055446,1568.4,2.5,13149325358.7383,90.3641204833984,9.62228531103527,3.08482215474986,18278568.0
